time,latitude,longitude,depth,mag,Year
2023-03-29T21:44:21.765Z,37.7974,36.5428,5,4.3,2023
2023-03-29T20:08:37.018Z,37.3371,36.8395,4.09,4.1,2023
2023-03-29T16:47:02.861Z,37.9135,36.2474,10,4.6,2023
2023-03-27T14:35:16.052Z,38.0716,36.5315,7.802,4.4,2023
2023-03-25T06:33:40.467Z,37.9055,36.1849,10,4.3,2023
2023-03-25T04:39:34.022Z,37.9894,36.9839,10,4.4,2023
2023-03-24T13:10:35.229Z,37.9624,37.5237,12.756,4.4,2023
2023-03-24T00:39:53.695Z,37.9593,36.3728,10,4.6,2023
2023-03-23T09:19:53.987Z,38.0255,36.4149,10,4.9,2023
2023-03-23T05:45:22.524Z,37.8989,36.6267,8.054,4.4,2023
2023-03-22T19:43:25.389Z,38.0905,38.0478,10,4.3,2023
2023-03-20T15:40:36.190Z,37.3664,36.7383,10,4,2023
2023-03-20T09:57:07.903Z,38.0518,37.1955,10,4.3,2023
2023-03-19T12:56:45.888Z,38.0182,36.4817,9.438,4.3,2023
2023-03-19T12:54:24.814Z,38.0441,36.4908,9.74,4.3,2023
2023-03-18T09:25:31.288Z,37.8271,36.3781,4.91,4.3,2023
2023-03-18T05:14:29.880Z,38.0124,36.4342,7.446,4.6,2023
2023-03-17T01:41:13.926Z,38.0328,36.5559,5,4.3,2023
2023-03-16T19:59:13.781Z,36.2858,34.3874,10,4.3,2023
2023-03-15T06:27:08.490Z,34.6115,32.4795,10,4.2,2023
2023-03-15T03:29:55.906Z,37.1397,36.3882,11.679,4.2,2023
2023-03-14T14:49:49.529Z,37.7866,37.3903,10,4.6,2023
2023-03-14T06:47:34.436Z,38.0681,36.9544,3.289,4.6,2023
2023-03-14T02:27:52.056Z,38.1074,38.5417,8.714,3.9,2023
2023-03-13T02:23:14.787Z,36.8216,36.5749,8.342,4.3,2023
2023-03-13T02:13:53.409Z,38.1186,38.6785,10,4.4,2023
2023-03-13T01:34:30.468Z,38.1188,38.6904,5.474,4.6,2023
2023-03-12T12:31:22.559Z,37.9391,36.329,10,4.3,2023
2023-03-11T19:35:16.225Z,36.9506,35.7349,3.736,4.3,2023
2023-03-11T11:32:11.039Z,38.0557,38.6147,14.527,4.3,2023
2023-03-10T07:58:34.775Z,37.9912,37.4971,8.969,4.1,2023
2023-03-10T02:28:15.206Z,38.6673,35.3344,5,4.8,2023
2023-03-09T23:34:17.914Z,38.0645,38.4618,5.369,4.1,2023
2023-03-09T18:55:28.739Z,38.056,38.4539,10,4.3,2023
2023-03-07T14:18:21.324Z,38.8412,37.3634,10,4.2,2023
2023-03-07T11:53:39.260Z,38.7061,35.3208,6.959,4.4,2023
2023-03-07T11:47:28.537Z,38.6304,35.2891,10,4.7,2023
2023-03-07T09:40:11.447Z,37.6748,36.6304,5.729,4.4,2023
2023-03-06T22:14:57.396Z,36.1589,36.0428,10,4,2023
2023-03-06T13:03:25.671Z,38.197,37.2109,14.422,4,2023
2023-03-06T11:02:56.996Z,36.2202,36.0072,10,4,2023
2023-03-06T08:14:18.364Z,36.1163,36.1532,20.681,4.2,2023
2023-03-06T05:51:08.337Z,37.9394,37.9123,5.035,4.1,2023
2023-03-06T02:16:02.969Z,36.1816,36.0375,10,4,2023
2023-03-05T20:49:46.490Z,36.7867,36.1842,10,4.8,2023
2023-03-05T06:25:43.024Z,34.7587,38.0259,10.012,4,2023
2023-03-04T05:27:34.779Z,38.0299,38.2134,2.86,4.2,2023
2023-03-03T02:53:43.065Z,37.8395,36.7004,7.12,5,2023
2023-03-02T13:35:54.000Z,38.2315,38.1119,6.914,3.4,2023
2023-03-01T16:37:59.849Z,37.2659,37.0676,9.357,4.4,2023
2023-03-01T07:20:26.329Z,36.3216,36.1079,35.431,4.6,2023
2023-03-01T04:15:31.433Z,37.759,37.8849,10,4.3,2023
2023-03-01T02:23:22.564Z,37.9545,37.0096,10,4.4,2023
2023-02-28T23:32:10.728Z,37.2808,37.0318,11.969,4.1,2023
2023-02-28T18:51:44.585Z,37.2341,36.9788,13.264,4.1,2023
2023-02-28T15:16:39.909Z,38.7188,35.3963,10,4,2023
2023-02-28T14:49:17.329Z,37.9074,36.7308,10,4.4,2023
2023-02-28T14:39:54.956Z,37.7893,36.7056,10,4.4,2023
2023-02-28T12:42:16.530Z,37.4289,36.4287,13.271,4.3,2023
2023-02-28T02:19:00.155Z,38.2434,38.2911,10,4.2,2023
2023-02-27T09:04:51.761Z,38.2168,38.2559,10,5.2,2023
2023-02-27T06:29:03.704Z,36.7843,35.604,10,4.4,2023
2023-02-27T06:19:48.628Z,37.9189,37.0464,8.266,4.2,2023
2023-02-27T02:51:21.400Z,37.8722,37.5853,10,4.7,2023
2023-02-26T02:26:30.945Z,36.0517,36.0193,10,4.5,2023
2023-02-25T12:41:13.746Z,38.0367,37.067,6.703,4.4,2023
2023-02-25T10:27:10.719Z,37.9763,33.9893,10.531,5.2,2023
2023-02-25T08:58:40.076Z,38.3654,37.4414,5.166,4.1,2023
2023-02-25T01:12:20.001Z,36.0592,35.9528,10,4.2,2023
2023-02-25T00:28:10.057Z,38.9781,41.0714,6.75,4.2,2023
2023-02-24T20:25:30.019Z,38.0934,38.7162,10,4.5,2023
2023-02-24T20:10:43.670Z,35.2752,35.239,10,4.2,2023
2023-02-24T17:20:00.554Z,38.7865,37.3025,10,4.6,2023
2023-02-24T14:02:00.044Z,37.9736,33.9905,10.022,4.5,2023
